query;trial;elapsed_s;;;;;;
surgeries_by_type;23;0,000218153;;;;;;
surgeries_by_type;24;0,000222921;;;;;;
surgeries_by_type;25;0,000221014;;;;;;
surgeries_by_type;26;0,000206709;;;;;;
surgeries_by_type;27;0,000213146;;;;;;
surgeries_by_type;28;0,000209093;;;;;;
surgeries_by_type;29;0,000203133;;;;;;
surgeries_by_type;30;0,000214815;;;;;;
surgeries_by_type;31;0,000202894;;;;;;
surgeries_by_type;32;0,000204086;;;;;;
surgeries_by_type;33;0,000206947;;;;;;
surgeries_by_type;34;0,000207901;;;;;;
surgeries_by_type;35;0,000211239;;;;;;
surgeries_by_type;36;0,000212193;;;;;;
surgeries_by_type;37;0,000210047;;;;;;
surgeries_by_type;38;0,000211;;;;;;
surgeries_by_type;39;0,000216007;;;;;;
surgeries_by_type;40;0,000211239;;;;;;
surgeries_by_type;41;0,000221968;;;;;;
surgeries_by_type;42;0,000209808;;;;;;
surgeries_by_type;43;0,000217915;;;;;;
surgeries_by_type;44;0,000206947;;;;;;
surgeries_by_type;45;0,000212908;;;;;;
surgeries_by_type;46;0,00020504;;;;;;
surgeries_by_type;47;0,000205994;;;;;;
surgeries_by_type;48;0,00020504;;;;;;
surgeries_by_type;49;0,000206232;;;;;;
surgeries_by_type;50;0,000217915;;;;;;
surgeries_by_type;51;0,000205755;;;;;;
surgeries_by_type;52;0,000212908;;;;;;
surgeries_by_type;53;0,000207186;;;;;;
surgeries_by_type;54;0,000217915;;;;;;
surgeries_by_type;55;0,00020504;;;;;;
surgeries_by_type;56;0,00022006;;;;;;
surgeries_by_type;57;0,000208139;;;;;;
surgeries_by_type;58;0,000200987;;;;;;
surgeries_by_type;59;0,000207186;;;;;;
surgeries_by_type;60;0,000202179;;;;;;
surgeries_by_type;61;0,000208855;;;;;;
surgeries_by_type;62;0,000200272;;;;;;
surgeries_by_type;63;0,000205755;;;;;;
surgeries_by_type;64;0,000207901;;;;;;
surgeries_by_type;65;0,000211;;;;;;
surgeries_by_type;66;0,000205994;;;;;;
surgeries_by_type;67;0,000211954;;;;;;
surgeries_by_type;68;0,000205994;;;;;;
surgeries_by_type;69;0,000205994;;;;;;
surgeries_by_type;70;0,000206709;;;;;;
surgeries_by_type;71;0,000200033;;;;;;
surgeries_by_type;72;0,000210047;;;;;;
surgeries_by_type;73;0,000204086;;;;;;
surgeries_by_type;74;0,000219107;;;;;;
surgeries_by_type;75;0,000201225;;;;;;
surgeries_by_type;76;0,000197887;;;;;;
surgeries_by_type;77;0,000209093;;;;;;
surgeries_by_type;78;0,000211954;;;;;;
surgeries_by_type;79;0,000203133;;;;;;
surgeries_by_type;80;0,000207901;;;;;;
surgeries_by_type;81;0,000217199;;;;;;
surgeries_by_type;82;0,000205755;;;;;;
surgeries_by_type;83;0,000215769;;;;;;
surgeries_by_type;84;0,000211954;;;;;;
surgeries_by_type;85;0,000206947;;;;;;
surgeries_by_type;86;0,000206232;;;;;;
surgeries_by_type;87;0,000204086;;;;;;
surgeries_by_type;88;0,000212193;;;;;;
surgeries_by_type;89;0,000208139;;;;;;
surgeries_by_type;90;0,000204086;;;;;;
surgeries_by_type;91;0,000206947;;;;;;
surgeries_by_type;92;0,00020504;;;;;;
surgeries_by_type;93;0,00020504;;;;;;
surgeries_by_type;94;0,000208139;;;;;;
surgeries_by_type;95;0,000229836;;;;;;
surgeries_by_type;96;0,000200987;;;;;;
surgeries_by_type;97;0,000203848;;;;;;
surgeries_by_type;98;0,000207901;;;;;;
surgeries_by_type;99;0,000213146;;;;;;
