query,trial,cpu_time_s
patients_by_gender,0,5.700000000000496e-05
patients_by_gender,1,4.7664000000002815e-05
patients_by_gender,2,4.91260000000035e-05
patients_by_gender,3,5.625200000000316e-05
patients_by_gender,4,5.3872000000006887e-05
patients_by_gender,5,5.1290000000002445e-05
patients_by_gender,6,5.020999999999498e-05
patients_by_gender,7,5.179400000000084e-05
patients_by_gender,8,5.0623999999999114e-05
patients_by_gender,9,5.3039999999997256e-05
patients_by_gender,10,4.375200000000454e-05
patients_by_gender,11,5.1415999999998574e-05
patients_by_gender,12,5.329200000000339e-05
patients_by_gender,13,5.075199999999766e-05
patients_by_gender,14,4.937600000000028e-05
patients_by_gender,15,4.612399999999808e-05
patients_by_gender,16,4.82520000000021e-05
patients_by_gender,17,5.037799999999676e-05
patients_by_gender,18,4.8415999999995574e-05
patients_by_gender,19,4.8248000000000735e-05
patients_by_gender,20,5.0462000000004587e-05
patients_by_gender,21,5.033000000000121e-05
patients_by_gender,22,5.108400000000679e-05
patients_by_gender,23,4.683200000000359e-05
patients_by_gender,24,5.0663999999998877e-05
patients_by_gender,25,5.450000000000593e-05
patients_by_gender,26,5.0997999999996546e-05
patients_by_gender,27,5.108000000000196e-05
patients_by_gender,28,5.275000000000418e-05
patients_by_gender,29,4.987599999999731e-05
patients_by_gender,30,5.237599999999981e-05
patients_by_gender,31,5.4999999999999494e-05
patients_by_gender,32,5.108400000000679e-05
patients_by_gender,33,4.6295999999994286e-05
patients_by_gender,34,5.0088000000003685e-05
patients_by_gender,35,5.058399999999935e-05
patients_by_gender,36,5.0332000000000154e-05
patients_by_gender,37,5.2624000000001114e-05
patients_by_gender,38,5.1082000000000904e-05
patients_by_gender,39,5.262600000000006e-05
patients_by_gender,40,5.054200000000064e-05
patients_by_gender,41,4.9581999999999404e-05
patients_by_gender,42,4.9540000000000695e-05
patients_by_gender,43,5.075200000000113e-05
patients_by_gender,44,4.98780000000032e-05
patients_by_gender,45,4.6664000000001815e-05
patients_by_gender,46,4.967000000000166e-05
patients_by_gender,47,4.9915999999997074e-05
patients_by_gender,48,7.545599999999458e-05
patients_by_gender,49,0.00010191599999999357
patients_by_gender,50,0.00010237200000000335
patients_by_gender,51,0.00010157999999999695
patients_by_gender,52,0.0001014199999999979
patients_by_gender,53,0.00010312400000000305
patients_by_gender,54,0.00010183600000000098
patients_by_gender,55,0.000103127999999994
patients_by_gender,56,0.00010208799999999324
patients_by_gender,57,0.00010599799999999604
patients_by_gender,58,8.94980000000073e-05
patients_by_gender,59,8.03320000000024e-05
patients_by_gender,60,7.296000000000386e-05
patients_by_gender,61,7.274799999999748e-05
patients_by_gender,62,7.224399999999909e-05
patients_by_gender,63,7.516800000000046e-05
patients_by_gender,64,7.179200000000108e-05
patients_by_gender,65,7.26240000000003e-05
patients_by_gender,66,7.042000000000159e-05
patients_by_gender,67,7.950000000000318e-05
patients_by_gender,68,7.699600000000278e-05
patients_by_gender,69,7.324799999999798e-05
patients_by_gender,70,7.654399999999784e-05
patients_by_gender,71,7.912799999999776e-05
patients_by_gender,72,7.278800000000418e-05
patients_by_gender,73,7.499599999999385e-05
patients_by_gender,74,7.499999999999868e-05
patients_by_gender,75,7.491200000000336e-05
patients_by_gender,76,7.504399999999634e-05
patients_by_gender,77,6.0876000000001373e-05
patients_by_gender,78,5.8415999999998636e-05
patients_by_gender,79,5.658399999999841e-05
patients_by_gender,80,6.083199999999678e-05
patients_by_gender,81,8.067200000000385e-05
patients_by_gender,82,0.00014891599999999894
patients_by_gender,83,0.00010254399999999608
patients_by_gender,84,5.407999999999802e-05
patients_by_gender,85,5.2256000000000524e-05
patients_by_gender,86,5.145999999999623e-05
patients_by_gender,87,5.908000000000302e-05
patients_by_gender,88,5.5171999999999166e-05
patients_by_gender,89,5.1832000000001655e-05
patients_by_gender,90,6.304000000000032e-05
patients_by_gender,91,5.44559999999944e-05
patients_by_gender,92,7.074800000000242e-05
patients_by_gender,93,9.370400000000695e-05
patients_by_gender,94,6.387599999999743e-05
patients_by_gender,95,4.9248000000001735e-05
patients_by_gender,96,5.558400000000435e-05
patients_by_gender,97,5.4539999999998756e-05
patients_by_gender,98,6.04560000000004e-05
patients_by_gender,99,6.025199999999675e-05
surgeries_by_type,0,9.737599999999624e-05
surgeries_by_type,1,7.11680000000034e-05
surgeries_by_type,2,6.308399999999798e-05
surgeries_by_type,3,7.195599999999802e-05
surgeries_by_type,4,6.621200000000299e-05
surgeries_by_type,5,6.374800000000236e-05
