query,trial,cpu_time_s
patients_by_gender,0,0.00014462799999999734
patients_by_gender,1,0.00010937799999999678
patients_by_gender,2,0.00010220799999999947
patients_by_gender,3,0.00010129600000000072
patients_by_gender,4,0.00010195800000000615
patients_by_gender,5,0.0001015000000000009
patients_by_gender,6,0.00010129199999999935
patients_by_gender,7,0.00010354400000000402
patients_by_gender,8,0.00010058400000000078
patients_by_gender,9,0.00010120999999999741
patients_by_gender,10,0.00017542000000000252
patients_by_gender,11,0.00013083000000000192
patients_by_gender,12,9.466600000000366e-05
patients_by_gender,13,0.00013162200000000138
patients_by_gender,14,0.00010616400000000234
patients_by_gender,15,8.52059999999974e-05
patients_by_gender,16,7.916800000000099e-05
patients_by_gender,17,7.791999999999522e-05
patients_by_gender,18,7.429200000000705e-05
patients_by_gender,19,6.691799999999568e-05
patients_by_gender,20,6.204000000000626e-05
patients_by_gender,21,5.424799999999633e-05
patients_by_gender,22,5.587599999999984e-05
patients_by_gender,23,5.466399999999941e-05
patients_by_gender,24,6.328799999999121e-05
patients_by_gender,25,5.525400000000111e-05
patients_by_gender,26,5.50019999999915e-05
patients_by_gender,27,7.30799999999962e-05
patients_by_gender,28,2.3083999999996135e-05
patients_by_gender,29,2.4292000000002145e-05
patients_by_gender,30,1.7210000000000142e-05
patients_by_gender,31,1.4995999999989351e-05
patients_by_gender,32,1.7247999999994018e-05
patients_by_gender,33,1.5170000000001849e-05
patients_by_gender,34,1.5333999999995324e-05
patients_by_gender,35,1.3539999999995916e-05
patients_by_gender,36,1.2872000000004047e-05
patients_by_gender,37,1.2455999999990558e-05
patients_by_gender,38,1.2331999999996845e-05
patients_by_gender,39,1.2374000000002494e-05
patients_by_gender,40,1.5497999999999207e-05
patients_by_gender,41,1.266800000000387e-05
patients_by_gender,42,1.2540000000005325e-05
patients_by_gender,43,1.208599999999449e-05
patients_by_gender,44,1.2082000000010473e-05
patients_by_gender,45,1.1873999999991586e-05
patients_by_gender,46,1.204399999999925e-05
patients_by_gender,47,1.1791999999996583e-05
patients_by_gender,48,1.1915999999993765e-05
patients_by_gender,49,1.2249999999991434e-05
patients_by_gender,50,1.1833999999995293e-05
patients_by_gender,51,1.1706000000003686e-05
patients_by_gender,52,1.1873999999991586e-05
patients_by_gender,53,1.166800000000634e-05
patients_by_gender,54,1.2038000000002408e-05
patients_by_gender,55,1.2167999999999901e-05
patients_by_gender,56,1.1874000000001994e-05
patients_by_gender,57,1.400200000000601e-05
patients_by_gender,58,1.1666000000000454e-05
patients_by_gender,59,1.2209999999998611e-05
patients_by_gender,60,1.200200000000054e-05
patients_by_gender,61,1.2539999999998386e-05
patients_by_gender,62,1.1708000000002633e-05
patients_by_gender,63,1.1793999999999e-05
patients_by_gender,64,1.1834000000005701e-05
patients_by_gender,65,1.2249999999998373e-05
patients_by_gender,66,1.6706000000008686e-05
patients_by_gender,67,1.4456000000002966e-05
patients_by_gender,68,1.3413999999996318e-05
patients_by_gender,69,1.3580000000002618e-05
patients_by_gender,70,1.1955999999990058e-05
patients_by_gender,71,1.3374000000003494e-05
patients_by_gender,72,1.3624000000000275e-05
patients_by_gender,73,1.3582000000001565e-05
patients_by_gender,74,1.1917999999999651e-05
patients_by_gender,75,1.1749999999994404e-05
patients_by_gender,76,1.1832000000003284e-05
patients_by_gender,77,1.1916000000011112e-05
patients_by_gender,78,1.1833999999995293e-05
patients_by_gender,79,1.19600000000053e-05
patients_by_gender,80,1.179400000000247e-05
patients_by_gender,81,1.3205999999998247e-05
patients_by_gender,82,1.304400000000372e-05
patients_by_gender,83,1.2459999999988453e-05
patients_by_gender,84,1.229399999999603e-05
patients_by_gender,85,1.2083999999992073e-05
