query,trial,cpu_time_s
patients_by_gender,0,0.00844636800000001
patients_by_gender,1,0.00281016000000002
patients_by_gender,2,0.0026154720000000214
patients_by_gender,3,0.0020405039999999985
patients_by_gender,4,0.0021832959999999874
patients_by_gender,5,0.0018859440000000005
patients_by_gender,6,0.0018903279999999967
patients_by_gender,7,0.0022882559999999885
patients_by_gender,8,0.0021506319999999857
patients_by_gender,9,0.0020627039999999985
patients_by_gender,10,0.0028816159999999758
patients_by_gender,11,0.0023742079999999888
patients_by_gender,12,0.0022291040000000095
patients_by_gender,13,0.0028170559999999845
patients_by_gender,14,0.0022910559999999858
patients_by_gender,15,0.0024587199999999976
patients_by_gender,16,0.002284592000000002
patients_by_gender,17,0.0022578240000000194
patients_by_gender,18,0.0021554720000000194
patients_by_gender,19,0.0022609919999999895
patients_by_gender,20,0.0021734239999999794
patients_by_gender,21,0.0022860800000000236
patients_by_gender,22,0.0025682079999999885
patients_by_gender,23,0.0023623360000000204
patients_by_gender,24,0.002507488000000002
patients_by_gender,25,0.001991408
patients_by_gender,26,0.0022204319999999944
patients_by_gender,27,0.002032672000000013
patients_by_gender,28,0.002573327999999986
patients_by_gender,29,0.0024601120000000143
patients_by_gender,30,0.0023576640000000093
patients_by_gender,31,0.0023196800000000184
patients_by_gender,32,0.0022871200000000036
patients_by_gender,33,0.0019416640000000096
patients_by_gender,34,0.001871696000000006
patients_by_gender,35,0.0025990240000000053
patients_by_gender,36,0.001830495999999987
patients_by_gender,37,0.002380847999999991
patients_by_gender,38,0.002204287999999971
patients_by_gender,39,0.002291039999999994
patients_by_gender,40,0.0020095679999999894
patients_by_gender,41,0.0016976960000000263
patients_by_gender,42,0.002115504000000046
patients_by_gender,43,0.0017542399999999903
patients_by_gender,44,0.0018938239999999884
patients_by_gender,45,0.0016391359999999855
patients_by_gender,46,0.0016288319999999967
patients_by_gender,47,0.0016359680000000154
patients_by_gender,48,0.0018732160000000109
patients_by_gender,49,0.0017169600000000174
patients_by_gender,50,0.0015996640000000284
patients_by_gender,51,0.002274399999999982
patients_by_gender,52,0.0016550400000000243
patients_by_gender,53,0.0014780799999999927
patients_by_gender,54,0.0014249920000000138
patients_by_gender,55,0.0016998399999999803
patients_by_gender,56,0.0014099999999999946
patients_by_gender,57,0.0008667840000000093
patients_by_gender,58,0.0008509919999999949
patients_by_gender,59,0.001004416000000008
patients_by_gender,60,0.0015847519999999948
patients_by_gender,61,0.001456832000000019
patients_by_gender,62,0.001556416000000005
patients_by_gender,63,0.0018043839999999645
patients_by_gender,64,0.0016008319999999687
patients_by_gender,65,0.001621919999999999
patients_by_gender,66,0.0017174239999999952
patients_by_gender,67,0.0018073439999999885
patients_by_gender,68,0.0015587520000000243
patients_by_gender,69,0.0015716319999999895
patients_by_gender,70,0.001918000000000003
patients_by_gender,71,0.0016725280000000342
patients_by_gender,72,0.0018436640000000226
patients_by_gender,73,0.0016297600000000079
patients_by_gender,74,0.001965728
patients_by_gender,75,0.0015926079999999954
patients_by_gender,76,0.0021314079999999735
patients_by_gender,77,0.0017292640000000081
patients_by_gender,78,0.0017788799999999827
patients_by_gender,79,0.001894576000000009
patients_by_gender,80,0.001861472000000003
patients_by_gender,81,0.002050431999999991
patients_by_gender,82,0.0015797119999999831
patients_by_gender,83,0.0016727200000000164
patients_by_gender,84,0.0018996800000000147
patients_by_gender,85,0.0019424960000000158
patients_by_gender,86,0.0012812479999999848
patients_by_gender,87,0.0019827839999999874
patients_by_gender,88,0.0018223679999999909
patients_by_gender,89,0.0017655839999999867
patients_by_gender,90,0.0018164960000000285
patients_by_gender,91,0.0016380799999999585
patients_by_gender,92,0.0015213760000000187
patients_by_gender,93,0.0014834559999999941
patients_by_gender,94,0.002173535999999976
patients_by_gender,95,0.0016278080000000361
patients_by_gender,96,0.0018185760000000162
patients_by_gender,97,0.0018358399999999775
patients_by_gender,98,0.0016330880000000048
patients_by_gender,99,0.0016008960000000183
surgeries_by_type,0,0.0027051360000000246
surgeries_by_type,1,0.0020914559999999915
surgeries_by_type,2,0.0019242559999999853
surgeries_by_type,3,0.0019061600000000178
surgeries_by_type,4,0.0014983199999999697
surgeries_by_type,5,0.0020711520000000205
surgeries_by_type,6,0.0017225920000000228
surgeries_by_type,7,0.0021607520000000158
surgeries_by_type,8,0.0019047680000000289
surgeries_by_type,9,0.001980048000000012
surgeries_by_type,10,0.001914128000000015
surgeries_by_type,11,0.0020454080000000263
surgeries_by_type,12,0.001821408000000052
surgeries_by_type,13,0.001974208000000005
surgeries_by_type,14,0.001928687999999984
surgeries_by_type,15,0.0020336320000000074
surgeries_by_type,16,0.0018665440000000255
surgeries_by_type,17,0.0018015680000000034
surgeries_by_type,18,0.001804399999999956
surgeries_by_type,19,0.001793199999999967
surgeries_by_type,20,0.0019249920000000142
surgeries_by_type,21,0.001989920000000006
surgeries_by_type,22,0.001997408000000006
surgeries_by_type,23,0.0017333919999999725
surgeries_by_type,24,0.0018587040000000166
surgeries_by_type,25,0.0017177920000000235
surgeries_by_type,26,0.002126479999999986
surgeries_by_type,27,0.0018711839999999702
surgeries_by_type,28,0.0015760960000000268
surgeries_by_type,29,0.0020553279999999674
surgeries_by_type,30,0.0020716799999999924
surgeries_by_type,31,0.0019467680000000431
surgeries_by_type,32,0.001815840000000013
surgeries_by_type,33,0.0019133759999999944
surgeries_by_type,34,0.0016919839999999797
surgeries_by_type,35,0.0017538720000000174
surgeries_by_type,36,0.002024319999999996
surgeries_by_type,37,0.0017965920000000413
surgeries_by_type,38,0.00176167999999996
surgeries_by_type,39,0.0019063520000000278
surgeries_by_type,40,0.0016599200000000092
surgeries_by_type,41,0.002003551999999992
surgeries_by_type,42,0.0016662719999999964
surgeries_by_type,43,0.0021763839999999757
surgeries_by_type,44,0.0019124159999999446
surgeries_by_type,45,0.001918527999999975
surgeries_by_type,46,0.0023096000000000227
surgeries_by_type,47,0.001888832000000007
